name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
Animal (Fuck Like a Beast);187800;138;1;1;;https://p.scdn.co/mp3-preview/b2a8b94719bb7ad444c39ec286048e6fac756fe3?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;33
Animal I Have Become;231400;40;1;3;;https://p.scdn.co/mp3-preview/3fa8d7a4d37672cd6e26c2f7ffed19758894d55c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;66
Another Brick in the Wall, Pt. 2;238746;17;1;5;;https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;77
Another Day;263120;40;1;2;;https://p.scdn.co/mp3-preview/6a3ea8316de96e0f92133e45c352836835e817ec?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;55
Anti-Everything;194868;22;1;2;;https://p.scdn.co/mp3-preview/031960d4fcbfe262173cd20da53cc0f63c3d7f87?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;50
April Sun in Cuba - Remastered 2006;207960;92;2;1;;https://p.scdn.co/mp3-preview/a5611e5fbd5c7d9f2b4702ba8ca256ababa88ec5?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;36
Are You Gonna Be My Girl;213800;95;1;2;;https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;76
Are You Ready;261680;137;1;1;;https://p.scdn.co/mp3-preview/2d9f26945ef4cb7eeffb165fe51c2595f165ee58?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
Arise;198226;137;1;1;;https://p.scdn.co/mp3-preview/7130ca17f2716b49f21f0ebb0cb4b44d4ef150fc?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;53
Armed and Ready - 2009 Remaster;251320;1;1;1;;https://p.scdn.co/mp3-preview/81cca63efc5fbae6c309e2a79f1e5c666f57f752?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;50
Armed To The Teeth;266014;135;1;1;;https://p.scdn.co/mp3-preview/0e4ff6ca1e479475ef69a5fea9e0e064d63bbccf?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;39
Around the World;429533;137;1;7;;https://p.scdn.co/mp3-preview/6abb7faeef25296b79498738dbbfc398700944dc?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;77
As Long as You Love Me;214333;1;1;3;;https://p.scdn.co/mp3-preview/b17131e36b4b6fd4a5061243ec4f23d6e0686d67?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;61
Ashes to Ashes;217333;94;1;7;;https://p.scdn.co/mp3-preview/2717bef0bcdd645f14a78c24ea2a836d97d99871?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;48
Astorolus - the Great Octopus;402520;22;1;3;;https://p.scdn.co/mp3-preview/137504f0c00bb2c816843edb4003ccd945d46131?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;39
